,MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
2743,21826796,669000.0,85718,-110.920257,32.314017,0.13,5814.86,2005,3,3,3085.0,2,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Appliance Color: Black, Countertops: Granite, Microwave: -, Oven: -",2,"Carpet, Ceramic Tile",193
2744,21503236,650000.0,85750,-110.814066,32.273197,4.77,4727.88,1956,5,5,3862.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Carpet, Ceramic Tile, Concrete, Other",0
2745,21530488,679000.0,85718,-110.900124,32.319156,0.46,5335.58,2002,3,3,3052.0,2,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",80
2746,21600014,675000.0,85718,-110.899559,32.319924,0.42,5625.57,2002,4,3,3052.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Concrete, Wood",80
2747,21601875,660000.0,85755,-110.951616,32.455558,0.91,6820.23,1999,3,3,2813.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",69
2748,21608385,667500.0,85755,-110.953895,32.458758,0.94,7333.12,2003,4,3,2947.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",72
2749,21620128,668000.0,85718,-110.924314,32.317306,0.94,5452.56,2004,3,3,2671.0,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Other",183
2750,21622765,675000.0,85737,-110.987512,32.404975,0.71,6322.52,2000,4,3,3045.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1,"Carpet, Ceramic Tile",51
2751,20936269,575000.0,85614,-110.960495,31.854446,0.87,4670.0,2002,3,3,3495.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Concrete",21
2752,21210422,625000.0,85716,-110.924956,32.218653,1.1,7792.0,1959,4,3,3317.0,2,"Dishwasher, Garbage Disposal, Oven",0,"Carpet, Concrete, Natural Stone, Wood",0
2753,21229900,610000.0,85737,-110.967838,32.408054,0.46,5696.56,2007,4,3,3420.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Concrete,50
2754,21301344,650000.0,85718,-110.904054,32.320225,0.47,5165.2,1995,4,3,3317.0,2,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile",124
2755,21311296,644500.0,85749,-110.729025,32.263274,0.9,4206.0,2001,4,3,3533.0,3,"Dishwasher, Garbage Disposal, Microwave, Oven",2,Ceramic Tile,17
2756,21402466,662500.0,85750,-110.851912,32.319524,0.15,4175.35,2001,4,3,2771.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood",97
2757,21706583,660000.0,85749,-110.777255,32.249037,1.3,6636.83,1981,4,4,4234.0,4,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",62
2758,21723354,667500.0,85755,-110.980461,32.433703,0.5,1850.05,2017,4,4,3010.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite",2,"Carpet, Ceramic Tile",12
2759,21803398,655000.0,85750,-110.843446,32.315967,0.17,5717.34,1992,3,3,2566.0,3,"Desk, Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: slate",2,Mexican Tile,324
2760,21806918,660000.0,85750,-110.843613,32.317116,0.17,4971.7,1992,2,3,2245.0,2,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Missing: Wine Fridge, Microwave: Microwave, Oven: Oven",1,"Ceramic Tile, Mexican Tile",324
2761,21810351,645000.0,85750,-110.841658,32.31487,0.14,4374.93,1993,3,3,2201.0,2,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: marble/quartz, Microwave: drawer, Oven: in range",2,Mexican Tile,325
2762,21813734,660000.0,85718,-110.939204,32.311515,0.98,4535.32,1960,4,3,3069.0,2,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: stained concrete, Microwave: built in, Oven: wall",2,"Carpet, Concrete, Other: Brick",4.16
2763,21817482,679000.0,85750,-110.836534,32.322741,0.25,6589.2,1993,3,2,2811.0,2,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: Stainless",3,Concrete,142
2764,21826354,645500.0,85750,-110.823028,32.281683,0.68,6873.93,2003,4,4,3324.0,3,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Pantry: Walk-In, Water Purifier, Appliance Color: Stainless, Countertops: Granite",1,"Carpet, Ceramic Tile",125
2765,21906253,665000.0,85739,-110.861432,32.55005,0.36,2079.84,2017,2,3,2780.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Gas",1,"Ceramic Tile, Wood",180
2767,21902739,651500.0,85737,-110.948374,32.415039,0.82,6512.0,1995,5,3,3141.0,3,"Dishwasher, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built In",2,Other: Porcelain Tile,83
2768,21507866,677500.0,85718,-110.933955,32.311996,0.83,6420.16,2005,4,4,3414.0,3,"Dishwasher, Garbage Disposal, Microwave, Oven",2,"Carpet, Natural Stone",0
